Id	Name	Author	Image	PubYear	Publisher	Language	Format	Cover	Price	Description
1	Гаррі Поттер. Ілюстроване видання	Дж.К. Роулінг	https://user-images.githubusercontent.com/9075641/212311205-c95177a5-c3f6-42e3-89dc-de8b448a2b5f.png	2022	А-ба-ба-га-ла-ма-га	Українська	Паперова	Тверда, Суперобкладинка	6280	Нове видання вже добре відомої шанувальникам першої частини пригод незвичайного хлопчика Гаррі Поттера. Книга була вперше видана у 1997 році, і тепер діти, які виросли з нею, читають її своїм дітям чи перечитують для задоволення, адже кожен, хто стикнувся з цим чаклунським світом, вже не зможе уявити, ніби не має цього досвіду.
2	1984	Джордж Орвелл	https://user-images.githubusercontent.com/9075641/212311135-58d6c1b2-6563-403d-88d3-8b911d6aea8e.png	2015	Видавництво Жупанського	Українська	Паперова	Тверда	200	Бажаєте розібратися у реаліях сьогодення? Тоді радимо придбати книгу «1984». Дивно, але реалії твору, написаного у жанрі антиутопії більше 60 років тому, у деталях збігаються з тими, що ми спостерігаємо у наші дні. Модель майбутнього від Джорджа Орвелла у книзі «1984» Незважаючи на художню вигадку, книга настільки реалістична, що перевертає свідомість, причому так, що хочеться перевернути її назад. Сам письменник стверджував, що «найкращі книги говорять тобі те, що ти вже сам знаєш». І роман-утопія «1984» описує речі, про які ми
3	Записки українського самашедшого	Ліна Костенко	https://book-ye.com.ua/upload/resize_cache/iblock/ac4/520_860_1/9c27c112_857b_11e6_80c0_000c29ae1566_e2860bc6_444b_11eb_8142_000c29ae1566.jpg	2020	А-ба-ба-га-ла-ма-га	Українська	Паперова	Тверда	320	Це перша нова книжка Ліни Костенко за останні 20 років мовчання і перший її прозовий роман.  Роман написано від імені 35-річного комп’ютерного програміста, який на тлі особистої драми прискіпливо, глибоко й болісно сканує усі вивихи нашого глобалізованого часу. У світі надмірної (дез)інформації і тотального відчуження він – заручник світових абсурдів – прагне подолати комунікативну прірву між чоловіком і жінкою, між родиною і професією, між Україною і світом. За жанровою стилістикою «Записки українського самашедшого» – насичений мікс художньої літератури, внутрішніх щоденників, сучасного літописання й публіцистики.
4	Янголи і демони	Ден Браун	https://book-ye.com.ua/upload/resize_cache/iblock/2f4/520_860_1/60efc56a_70a4_11e8_80fe_000c29ae1566_764ab1f8_bd6f_11eb_814a_0050568ef5e6.jpg	2022	Книжковий клуб «Клуб Сімейного Дозвілля»	Українська	Паперова	Гнучка	260	Всесвітньо відомого фахівця з релігійної символіки Роберта Ленґдона терміново викликають до Швейцарії, щоб дослідити загадковий знак, випалений на грудях по-звірячому вбитого фізика. Він робить приголомшливе відкриття: це справа рук давнього ворога Церкви — таємної організації ілюмінатів. Крім того, у Ватикані закладено надпотужну бомбу, яку має знайти саме Ленґдон разом із чарівною жінкою-науковцем Вітторією Ветрою. На них чекає шалена пригода: йдучи слідом безжального вбивці, збирати трупи, видиратися на собори, спускатися в підземелля, щоб знайти нарешті лігво ілюмінатів і врятувати Святий престол.
5	Атомні звички	Джеймс Клір	https://book-ye.com.ua/upload/iblock/cf0/657c8274_fe75_11ea_813d_000c29ae1566_b47cfe7e_fe7a_11ea_813d_000c29ae1566.jpg	2020	КМ-Букс	Українська	Паперова	Тверда	200	Бестселер «The New York Times»! Незначні зміни, значні результати! Дізнайтеся секрет тривалих результатів! Нашпигована заснованими на фактах стратегіями із самовдосконалення, книга «Атомні звички» навчить, як набути манер і навиків, що працюватимуть на вас, а не проти вас. У книзі Джеймс Клір ділиться надзвичайно цікавою і по-справжньому продуктивною методикою напрацювання корисних звичок. В її основі лежить поняття чотириступеневої моделі звичок (подразник, прагнення, відгук, винагорода), а також чотири породжені цією моделлю закони зміни поведінки. Викладений матеріал підтверджується результатами наукових досліджень, проте книгу слід трактувати не як наукову розвідку, а як посібник з експлуатації, що містить мудрі практичні поради та пояснення механізмів створення і змінювання власних звичок. Єдиного правильного способу набуття корисних звичок, звісно, не існує, але автор пропонує найкращий із відомих підхід, який спрацює незалежно від того, з чого саме ви починаєте і що саме намагаєтеся змінити.
6	Тривожні люди	Фредрік Бакман	https://book-ye.com.ua/upload/iblock/63e/3b181f94_0997_11ec_8150_0050568ef5e6_aa67f6eb_0997_11ec_8150_0050568ef5e6.jpg	2022	#книголав	Українська	Паперова	Тверда	400	Роман всесвітньовідомого шведського письменника Фредріка Бакмана «Тривожні люди» очолив найвідоміші книжкові рейтинги і став світовим бестселером. Це зворушлива комедія, а водночас психологічний роман про злочин, який ніколи не відбувся. Грабіжник-невдаха бере випадково в заручники вісьмох надзвичайно стурбованих незнайомців, які оглядають квартиру, виставлену на продаж. Під час перебування у цьому помешканні вони поступово починають відкриватися одне одному – і виявляється, у них чимало спільного. Подружжя, яке щойно вийшло на пенсію, директорка банку, старенька пані, яка вже не боїться, коли на неї наставляють пістолет, молода пара, яка очікує дитину, агентка з нерухомості – усі вони розкривають одне одному свої найглибші таємниці. Роман «Тривожні люди» – смішний, сповнений емпатії та мудрості. Це історія про силу дружби, прощення і надію – про речі, які рятують навіть у найнеспокійніші часи.
7	Важко бути богом	Аркадій та Борис Стругацькі	https://knigipetrovka.com.ua/wp-content/uploads/2022/06/978-088-0001-70-0-cover-2.jpg	2021	Видавничий союз «Андронум»	Українська	Паперова	М'яка	100	«Важко бути богом» (1963), на думку багатьох читачів, — найсильніша книга Стругацьких. Це історія землянина, котрий став уповноваженим спостерігачем на планеті, схожій на Землю, що застрягла в добі чимось подібній на наше пізнє Середньовіччя, й вимушеного не втручатися в події. Йому дозволили лише одне, — рятувати видатних вчених і мислителів від сірих штурмовиків. Чужий знає, що великі уми й просто чесні люди на цій планеті приречені на страждання. Чи можна їм допомогти й не позбавляти при цьому власної долі?
8	Історії про життя, смерть і нейрохірургію	Генрі Марш	https://book-ye.com.ua/upload/iblock/ce4/de35c579_862c_11e6_80c0_000c29ae1566_3e895f39_3008_11e7_80c5_000c29ae1566.png	2021	Видавництво Старого Лева	Українська	Паперова	Тверда	250	Правда — то його релігія, кажуть про Генрі Марша колеги. Власне, у цій книжці спогадів і роздумів відомого британського нейрохірурга ви знайдете багато захоплюючих історій, у яких головне — це етика стосунків між лікарем та пацієнтом, тонка межа між гіркою правдою і крихкою надією. Бути висококласним нейрохірургом — цього не досить, щоб бути Генрі Маршем. Треба ще мати найкращі людські якості — доброту, вимогливість до себе, любов до людей і неабиякий талант оповідача.
9	JavaScript для дітей. Веселий вступ до програмування	Нік Морган	https://book-ye.com.ua/upload/iblock/af1/656fc853_f453_11e7_80ed_000c29ae1566_b89b7180_f453_11e7_80ed_000c29ae1566.png	2021	Видавництво Старого Лева	Українська	Паперова	Гнучка	380	«JavaScript для дітей» — веселий посібник, вступ до основ програмування, із яким ви крок за кроком опануєте роботу з рядками, масивами та циклами, інструментами DOM та jQuery та елементом canvas для малювання графіки. Ви зможете писати та модифікувати HTML-елементи для створення динамічних веб-сторінок та напишете класні онлайн ігри «Знайди захований скарб», «Шибениця» та «Змійка». У цій книжці — безліч цікавих прикладів та кумедних ілюстрацій, а завдання з програмування наприкінці кожного розділу, надихнуть на створення власних приголомшливих програм. Утнімо щось крутецьке із JavaScript!
10	451° за Фаренгейтом	Рей Бредбері	https://book-ye.com.ua/upload/iblock/2af/cfa05218_74e0_11e6_80be_000c29ae1566_ec810430_cb8a_11ec_816f_0050568ef5e6.jpg	2022	Навчальна книга – Богдан	Українська	Паперова	Тверда	140	Що трапилося з нашим світом? Чому пожежники спалюють будинки, а не гасять пожежі? Чому люди не читають книги, не ходять пішки і майже не розмовляють одне з одним? Як виглядатиме наша Земля та якими будуть люди, якщо заборонити їм читати книги? Зі сторінок одного з найкращих творів Рея Бредбері ви дізнаєтеся, як люди навчаться зберігати книги для наступних поколінь, хто повстане проти пануючої системи і як зустріч із “чудною” дівчиною Кларіс змінить життя пожежника Ґая Монтеґа…
